epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8132,1.57377,2.78048,1.57557,0.00318,1,0.38674,0.21638,1.06408,3.06315,1.4084,0.00046,0.00046,0.00046
2,20.6816,1.24041,1.87236,1.29239,0.30482,0.28571,0.34884,0.14792,1.38654,2.78557,1.68012,0.00089347,0.00089347,0.00089347
3,31.2217,1.23784,1.55671,1.29254,0.75372,0.7619,0.82713,0.43603,1.30173,2.40364,1.84499,0.00127942,0.00127942,0.00127942
4,38.2215,1.31847,1.54046,1.31933,0.29163,0.47619,0.33906,0.16397,1.78047,3.2376,2.17124,0.00161785,0.00161785,0.00161785
5,45.2144,1.23874,1.37852,1.27176,0.43614,0.66667,0.50469,0.23242,1.5136,2.82998,1.66021,0.001604,0.001604,0.001604
6,52.2588,1.17102,1.20498,1.21877,0.74231,0.68646,0.84217,0.45395,1.38365,1.89594,1.63612,0.001505,0.001505,0.001505
7,59.3224,1.21036,1.16973,1.2345,0.71016,0.90476,0.88426,0.47909,1.11074,2.07267,1.40271,0.001406,0.001406,0.001406
8,66.2623,1.21435,1.15003,1.25168,0.51859,0.82101,0.61012,0.42198,1.10272,1.9627,1.38077,0.001307,0.001307,0.001307
9,73.2197,1.16587,1.06975,1.20391,0.89188,0.90476,0.94516,0.64522,1.054,1.19744,1.31649,0.001208,0.001208,0.001208
10,81.6438,1.09897,0.98198,1.19211,0.8614,0.90476,0.9217,0.58548,1.2052,1.09309,1.4673,0.001109,0.001109,0.001109
11,118.573,1.05026,1.15079,1.19743,0.99269,0.90476,0.98493,0.70848,1.02307,1.02524,1.20338,0.00101,0.00101,0.00101
12,125.38,1.08983,1.01792,1.19357,0.98118,0.95238,0.98731,0.61052,1.16073,0.92228,1.39802,0.000911,0.000911,0.000911
13,132.208,1.07081,0.96719,1.19823,1,0.89739,0.98079,0.66461,1.12576,0.98239,1.34118,0.000812,0.000812,0.000812
14,139.02,1.01102,0.9044,1.16504,0.95207,0.94613,0.94758,0.65148,1.05961,0.91402,1.19819,0.000713,0.000713,0.000713
15,145.827,1.01509,0.88168,1.14109,1,0.99106,0.995,0.67746,1.06247,0.73958,1.32346,0.000614,0.000614,0.000614
16,152.595,0.97016,0.80705,1.14449,0.98152,1,0.995,0.69353,1.02678,0.77027,1.17765,0.000515,0.000515,0.000515
17,159.442,0.97431,0.78436,1.13958,0.99263,0.95238,0.99152,0.66536,1.03221,0.69358,1.20331,0.000416,0.000416,0.000416
18,166.203,0.93843,0.82257,1.11201,0.97323,1,0.995,0.70672,1.00969,0.65337,1.25001,0.000317,0.000317,0.000317
19,173.039,0.9313,0.70598,1.1013,0.97398,1,0.995,0.7017,1.04403,0.65524,1.24549,0.000218,0.000218,0.000218
20,179.844,0.86358,0.68772,1.08316,0.95034,1,0.98864,0.65452,1.10519,0.66706,1.2811,0.000119,0.000119,0.000119
