epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8883,1.30763,5.62234,0.01964,0.00318,1,0.2538,0.14021,0.93236,8.21176,0.02353,0.00056,0.00056,0.00056
2,28.9285,1.10945,4.45043,0.01539,0.00379,1,0.34122,0.22586,0.93462,7.90542,0.02454,0.00108357,0.00108357,0.00108357
3,38.3707,1.17951,3.49899,0.01632,0.5399,0.55921,0.61952,0.33416,1.34213,6.68614,0.0382,0.00154972,0.00154972,0.00154972
4,46.2592,1.2233,2.87456,0.01649,0.83041,0.93315,0.93933,0.54327,1.44026,3.05871,0.04193,0.001703,0.001703,0.001703
5,54.7677,1.25862,2.32952,0.01795,0.94525,0.82261,0.91319,0.57143,1.21426,2.30222,0.0356,0.001604,0.001604,0.001604
6,63.4911,1.22269,1.88005,0.01584,0.76889,0.95062,0.91816,0.59545,1.18515,1.80839,0.03234,0.001505,0.001505,0.001505
7,71.881,1.21286,1.65325,0.01592,0.98587,0.80952,0.94513,0.61801,1.18071,1.59586,0.03195,0.001406,0.001406,0.001406
8,80.8392,1.23883,1.43167,0.01628,0.92041,0.90476,0.95929,0.5369,1.61604,1.32571,0.04893,0.001307,0.001307,0.001307
9,89.7785,1.20818,1.28128,0.01677,0.86142,0.95238,0.97951,0.71016,1.03222,1.02956,0.02885,0.001208,0.001208,0.001208
10,100.435,1.11221,1.07028,0.01399,0.94526,0.95238,0.98384,0.72038,1.10828,0.7737,0.02934,0.001109,0.001109,0.001109
11,140.585,1.12333,1.41567,0.02117,0.90839,0.85714,0.97546,0.6005,1.34437,0.87439,0.0346,0.00101,0.00101,0.00101
12,149.141,1.07731,1.25636,0.01888,0.90064,0.95238,0.96822,0.69587,1.05065,0.66206,0.02706,0.000911,0.000911,0.000911
13,157.591,1.08624,1.09026,0.01927,0.9507,1,0.99091,0.72889,1.05694,0.4617,0.02636,0.000812,0.000812,0.000812
14,166.644,1.04412,0.93394,0.01848,1,0.94948,0.99,0.69913,1.06609,0.48663,0.0281,0.000713,0.000713,0.000713
15,177.652,0.97875,0.82734,0.01698,0.95226,0.94994,0.98384,0.67613,1.17365,0.53855,0.03054,0.000614,0.000614,0.000614
16,189.061,0.96706,0.77999,0.01704,0.95151,0.9349,0.98262,0.71251,1.0601,0.50063,0.02782,0.000515,0.000515,0.000515
17,200.297,0.92984,0.71522,0.01582,0.95174,0.93962,0.98914,0.72667,1.02382,0.45565,0.02657,0.000416,0.000416,0.000416
18,211.566,0.87598,0.6799,0.01504,0.9521,0.94682,0.98914,0.69105,1.0938,0.44843,0.02845,0.000317,0.000317,0.000317
19,222.659,0.86752,0.6524,0.01437,0.95424,0.99333,0.99091,0.71225,1.07229,0.38569,0.02812,0.000218,0.000218,0.000218
20,233.07,0.84857,0.64906,0.01377,0.95404,0.98886,0.99318,0.71183,1.0915,0.40395,0.02882,0.000119,0.000119,0.000119
